"TableName","State","Total","SumOfBatchID"
"utCareOfName","34","57893","242546787593"
"utExteriorWall","34","538887","2326772932298"
"utExtraFeature","34","93617","416644712780"
"utGarage","34","1090436","4677323703947"
"utMailAddress","34","3162120","13433421685211"
"utMain","34","3162120","13433421685211"
"utName","34","3163923","13440981703016"
"utOby","34","86852","384916555881"
"utPool","34","15272","65771063236"
"utSaleData","34","3014969","12846499320451"
"utTaxExemption","34","251579","1059992386900"
"utTypeConstruction","34","1813693","7721061438159"
"utValue","34","3162120","13433421685211"
"utVestingCodes","34","3281","13954504358"
"utBKManagedSpecific","35","1401205","396535320191758"
"utBuilding","35","1620686","616125917096387"
"utBuildingAreas","35","1415215","179824720984263"
"utCareOfName","35","78228","31519777745466"
"utExteriorWall","35","144489","22838644741003"
"utExtraFeature","35","25661","2977761879794"
"utGarage","35","198468","14590378420650"
"utInteriorFlooring","35","261404","21774994177195"
"utInteriorWall","35","191317","20812112527396"
"utLotSiteAppeal","35","132","602363907"
"utMailAddress","35","1617818","613256474379912"
"utMain","35","1617818","613256474379912"
"utName","35","1737312","660034840065996"
"utOby","35","35037","7945136529265"
"utPool","35","4382","95184107499"
"utSaleData","35","557869","147592350089601"
"utTaxDistrict","35","502623","370451462020881"
"utTaxExemption","35","326947","81710388388622"
"utTypeConstruction","35","36343","4533537596558"
"utValue","35","1617818","613256474379912"
"utVestingCodes","35","12978","388335969516"
"utBKManagedSpecific","36","6406459","1598958241799698"
"utBuilding","36","6579804","1772381293097195"
"utBuildingAreas","36","16366332","2593601274307508"
"utCareOfName","36","375786","87436735497614"
"utExteriorWall","36","3096187","11440711133683"
"utExtraFeature","36","441224","1490155516881"
"utGarage","36","4648579","484748596991140"
"utInteriorWall","36","18454","45035011649"
"utLotSiteAppeal","36","491255","256363123650009"
"utMailAddress","36","6579804","1772381293097195"
"utMain","36","6579804","1772381293097195"
"utName","36","8461481","2113299320315838"
"utOby","36","1722712","6322574592969"
"utPool","36","496258","1828287519736"
"utSaleData","36","2382905","612402461933602"
"utTaxDistrict","36","7959717","1604756905192433"
"utTaxExemption","36","5891929","2125377818806991"
"utTypeConstruction","36","527696","172216552027246"
"utValue","36","6406459","1598958241799698"
"utVestingCodes","36","26373","222974467129"
"utBKManagedSpecific","37","5461355","678665558494266"
"utBuilding","37","5461355","678665558494266"
"utBuildingAreas","37","8927521","1275213077094839"
"utCareOfName","37","186821","22623523608974"
"utExteriorWall","37","2996942","374234241170917"
"utExtraFeature","37","1257549","135773810529893"
"utGarage","37","2068915","320724859632970"
"utInteriorFlooring","37","1728980","416996818147447"
"utInteriorWall","37","1169534","219023722880978"
"utLotSiteAppeal","37","66488","5820132542479"
"utMailAddress","37","5461355","678665558494266"
"utMain","37","5461355","678665558494266"
"utName","37","6835747","796095490265759"
"utOby","37","1203777","197402021122269"
"utPool","37","119394","14986974688914"
"utSaleData","37","6123286","713942751694543"
"utTaxDistrict","37","4116254","389543521046413"
"utTaxExemption","37","238926","35072370975811"
"utTypeConstruction","37","954438","130691694622143"
"utValue","37","5461355","678665558494266"
"utVestingCodes","37","46308","8977852378751"
"utBKManagedSpecific","38","723031","89053143025096"
"utBuilding","38","728459","94483876435624"
"utBuildingAreas","38","221910","880615288623"
"utCareOfName","38","62138","8119234247666"
"utExteriorWall","38","13346","51785207919"
"utExtraFeature","38","5850","23985755025"
"utGarage","38","59390","229770117524"
"utInteriorFlooring","38","18819","74880047044"
