"TableName","State","Total","SumOfBatchID"
"utForeclosureNameAddress","37","354838","13956210053639"
"utForeclosureOriginalLoan","37","180090","6907238828599"
"utLegacy","37","98483","68221599441528"
"utMain","37","11906419","7646939876598958"
"utPropertyInfo","37","12640316","8183272477089424"
"utSellerMailAddress","37","2379676","1574382841377646"
"utSellerName","37","10108504","6758573375234103"
"utSellerNameDescriptionCode","37","8978176","6002683873960199"
"utBKManagedSpecific","38","661034","235000727183924"
"utBorrowerMailAddress","38","638","566585193915"
"utBorrowerName","38","503469","192561905171521"
"utBorrowerNameDescriptionCode","38","498434","190220662174253"
"utBuyerMailAddress","38","370803","128524348517982"
"utBuyerName","38","588162","201774317802678"
"utBuyerNameDescriptionCode","38","578810","197912835872698"
"utForeclosureNameAddress","38","144","81831343"
"utMain","38","670105","243881093454375"
"utPropertyInfo","38","718276","267319731018720"
"utSellerMailAddress","38","51803","12624509590077"
"utSellerName","38","668001","228224470081413"
"utSellerNameDescriptionCode","38","646462","215192764907072"
"utBKManagedSpecific","39","16643958","5129252143173342"
"utBorrowerMailAddress","39","2293501","525080048002116"
"utBorrowerName","39","12943473","3761560143293188"
"utBorrowerNameDescriptionCode","39","11037549","3440910623356764"
"utBuyerMailAddress","39","9436749","3037354319516914"
"utBuyerName","39","13907176","4607518626366620"
"utBuyerNameDescriptionCode","39","12835874","4239581250529854"
"utForeclosureNameAddress","39","483648","167798828266"
"utForeclosureOriginalLoan","39","122287","10274547885"
"utLegacy","39","98035","18020184071827"
"utMain","39","17337134","5247638031807361"
"utPropertyInfo","39","20961323","7018992685060949"
"utSellerMailAddress","39","1201004","375958353851763"
"utSellerName","39","15682527","5086089741101771"
"utSellerNameDescriptionCode","39","13549757","4313466487964058"
"utBKManagedSpecific","40","4213187","1344092738120300"
"utBorrowerMailAddress","40","8794","4058282789869"
"utBorrowerName","40","2282132","658421985622453"
"utBorrowerNameDescriptionCode","40","2138666","636954713640667"
"utBuyerMailAddress","40","2920559","956380388788960"
"utBuyerName","40","4457626","1463347008473739"
"utBuyerNameDescriptionCode","40","4350614","1429729494900789"
"utForeclosureNameAddress","40","128539","13954589026996"
"utForeclosureNODNOSDoc","40","4154","642099907818"
"utForeclosureOriginalLoan","40","29253","3265866587841"
"utLegacy","40","6564","4414935209176"
"utMain","40","4335330","1354955126693100"
"utPropertyInfo","40","4368697","1363065583871332"
"utSellerMailAddress","40","325185","98021127576265"
"utSellerName","40","5208769","1717940021029444"
"utSellerNameDescriptionCode","40","4924433","1612925695528429"
